LP,FileName,Category,Subcategory,Database,OriginalFileName,Duration,SampleRate,TotalSamples,Channels,BitsPerSample,Type,BackgroundNoise,MaskingEffect,Movement,Distance,SoundSource,Notes
1,'BirdSong_01_MONO.wav',Nature,animals,Cornell Lab of Ornithology,'Black-capped Chickadee Song',3.0000,44100,132300,1,16,F,0,0,0,0,0,
2,'BirdSong_02_MONO.wav',Nature,animals,Cornell Lab of Ornithology,'12 Black-capped Chickadee Call.wav',3.0000,44100,132300,1,16,F,0,0,0,0,0,
3,'BirdSong_03_MONO.wav',Nature,animals,Cornell Lab of Ornithology,'13 Tufted Titmouse Song.wav',3.0000,44100,132301,1,16,F,1,0,0,0,0,"Ambient outdoor sound, very quiet"
4,'BirdSong_04_MONO.wav',Nature,animals,Cornell Lab of Ornithology,'19 Dark-eyed Junco Song.wav',3.0000,44100,132299,1,16,F,0,0,0,0,0,
5,'BirdSong_05_MONO.wav',Nature,animals,Cornell Lab of Ornithology,'22 Northern Cardinal Song 2.wav',2.999569161,44100,132281,1,16,F,0,0,0,0,0,
6,'BirdSong_06_MONO.wav',Nature,animals,Cornell Lab of Ornithology,'26 House Finch Song.wav',2.999659864,44100,132285,1,16,F,1,0,0,0,0,"Ambient outdoor sound, very quiet"
7,'BirdSong_07_MONO.wav',Nature,animals,Cornell Lab of Ornithology,'16 White-crowned Sparrow Song 1.wav',2.999637188,44100,132284,1,16,F,1,0,0,0,0,"Ambient outdoor sound, very quiet"
8,'BirdSong_08_MONO.wav',Nature,animals,Cornell Lab of Ornithology,'17 White-crowned Sparrow Song 2.wav',3.0000,44100,132300,1,16,F,0,0,0,0,0,
9,BirdSong_09_MONO.wav',Nature,animals,Cornell Lab of Ornithology,'21 Cassin''s Finch Song.wav',3.0000,44100,132302,1,16,F,1,0,0,0,0,
10,BirdSong_10_MONO.wav',Nature,animals,Cornell Lab of Ornithology,"29 American Goldfinch Song, Call'",2.4869161,44100,109673,1,16,F,1,0,0,0,0,
11,'BirdSquawk_01_MONO.wav',Nature,animals,BBC Sound Effects,'07059122_Peacocks - several birds calling at night',2.502721088,44100,110370,1,16,F,0,0,0,0,0,
12,'BirdSquawk_02_MONO.wav',Nature,animals,BBC Sound Effects,'07059124_Ducks - solo (NZ)',2.597414966,44100,114546,1,16,F,1,0,0,0,0,"Ambient outdoor sound, very quiet and some water"
13,'BirdSquawk_03_MONO.wav',Nature,animals,BBC Sound Effects,"'07059120_Kea - call, single'",2.588684807,44100,114161,1,16,F,0,0,0,0,0,
14,BirdSquawk_04_MONO.wav',Nature,animals,zapsplat.com,'BIRD-KOOKABURRA_GEN-HDF-03898_preview.wav',2.986689342,44100,131713,1,16,F,0,0,0,0,0,
15,'BirdSquawk_05_MONO.wav',Nature,animals,SoundBible.com,'Parots Talking-587469366.wav',2.762403628,44100,121822,1,16,F,1,0,0,0,0,Ambient indoor sound
16,'BirdSquawk_06_MONO.wav',Nature,animals,Adobe Systems Incorporated,'Animal Bird Peacock Call 01.wav',0.930657596,44100,41042,1,16,F,0,0,0,0,0,
17,BirdSquawk_07_MONO.wav',Nature,animals,zapsplat.com,'zapsplat_animals_bird_parrot_black_cockatoo_squawk_single_003_28297.wav',0.74399093,44100,32810,1,16,F,0,0,0,0,0,
