ID,sound,recognition,imageability,representativeness,category,SCORING,duration_s,samples,duration_ms,duration_recognition,main_category
P0001,BirdsFlyingOff_03_MONO.wav,1867.03,5,10,birdsflyingoff,2,1.828571429,80640,1828.571429,-38.45857143,natural
P0001,BirdsFlyingOff_04_MONO.wav,1734.375,7,4,birdsflyingoff,0,2.515623583,110939,2515.623583,781.2485828,natural
P0001,BirdsFlyingOff_05_MONO.wav,2918.805,6,6,birdsflyingoff,2,2.980839002,131455,2980.839002,62.03400227,natural
P0001,BirdsFlyingOff_08_MONO.wav,2236.1,7,2,birdsflyingoff,2,2.927528345,129104,2927.528345,691.4283447,natural
P0001,BirdsFlyingOff_10_MONO.wav,1873.355,6,8,birdsflyingoff,2,1.175510204,51840,1175.510204,-697.8447959,natural
P0001,BirdSong_01_MONO.wav,1902.315,6,8,birdsong,2,3,132300,3000,1097.685,natural
P0001,BirdSong_03_MONO.wav,1007.525,6,10,birdsong,2,3,132301,3000.022676,1992.497676,natural
P0001,BirdSong_06_MONO.wav,858.675,6,2,birdsong,2,2.999659864,132285,2999.659864,2140.984864,natural
P0001,BirdSong_08_MONO.wav,1370.485,6,6,birdsong,2,3,132300,3000,1629.515,natural
P0001,BirdSong_10rep_MONO.wav,1284.125,7,4,birdsong,2,2.4869161,109673,2486.9161,1202.7911,natural
P0001,BirdSquawk_02_MONO.wav,1064.185,6,6,birdsquawk,2,2.597414966,114546,2597.414966,1533.229966,natural
P0001,BirdSquawk_03_MONO.wav,1720.505,6,10,birdsquawk,0,2.588684807,114161,2588.684807,868.1798073,natural
P0001,BirdSquawk_06_MONO.wav,1686.35,6,8,birdsquawk,0,0.930657596,41042,930.6575964,-755.6924036,natural
P0001,BirdSquawk_09_MONO.wav,939.835,7,4,birdsquawk,2,3,132300,3000,2060.165,natural
P0001,BirdSquawk_10_MONO.wav,1711.265,5,2,birdsquawk,0,1.7763,78336,1776.326531,65.06153061,natural
P0001,CarHorn_01_MONO.wav,1634.055,6,8,carhorn,2,2.763854875,121886,2763.854875,1129.799875,mechanical
P0001,CarHorn_03_MONO.wav,959.28,6,10,carhorn,2,1.428412698,62993,1428.412698,469.1326984,mechanical
P0001,CarHorn_04_MONO.wav,835.69,6,6,carhorn,2,1.03968254,45850,1039.68254,203.9925397,mechanical
P0001,CarHorn_05_MONO.wav,1104.27,7,4,carhorn,2,2.858752834,126071,2858.752834,1754.482834,mechanical
P0001,CarHorn_06_MONO.wav,849.57,7,2,carhorn,2,2.778276644,122522,2778.276644,1928.706644,mechanical
P0001,CarSkidding_01_MONO.wav,1597.075,6,8,carskidding,1,2.766281179,121993,2766.281179,1169.206179,mechanical
P0001,CarSkidding_05_MONO.wav,1928.545,6,10,carskidding,1,2.991836735,131940,2991.836735,1063.291735,mechanical
P0001,CarSkidding_06new_MONO.wav,1677.715,7,4,carskidding,1,2.705124717,119296,2705.124717,1027.409717,mechanical
P0001,CarSkidding_07new_MONO.wav,987.84,6,2,carskidding,2,2.426643991,107015,2426.643991,1438.803991,mechanical
P0001,CarSkidding_10_MONO.wav,2029.405,6,6,carskidding,1,2.983877551,131589,2983.877551,954.472551,mechanical
P0001,CarStarting_01_MONO.wav,860.99,6,6,carstarting,2,2.821791383,124441,2821.791383,1960.801383,mechanical
P0001,CarStarting_03_MONO.wav,912.31,6,4,carstarting,2,3,132300,3000,2087.69,mechanical
P0001,CarStarting_06_MONO.wav,1148.855,6,2,carstarting,2,3,132300,3000,1851.145,mechanical
P0001,CarStarting_07_MONO.wav,1087.73,6,10,carstarting,2,3,132300,3000,1912.27,mechanical
P0001,CarStarting_10_MONO.wav,1320.93,6,8,carstarting,1,2.720294785,119965,2720.294785,1399.364785,mechanical
P0001,CatHissing_01_MONO.wav,2347.575,4,6,cathissing,0,0.807210884,35598,807.2108844,-1540.364116,natural
P0001,CatHissing_06_MONO.wav,2336.53,1,10,cathissing,0,0.674671202,29753,674.6712018,-1661.858798,natural
P0001,CatHissing_08_MONO.wav,2697.605,4,4,cathissing,0,0.914285714,40320,914.2857143,-1783.319286,natural
P0001,CatHissing_09_MONO.wav,1393.335,7,2,cathissing,0,0.992653061,43776,992.6530612,-400.6819388,natural
P0001,CatHissing_10_MONO.wav,1692.1,7,8,cathissing,2,1.491655329,65782,1491.655329,-200.4446712,natural
P0001,CatMeowing_01_MONO.wav,1275.655,5,8,catmeowing,1,2.741451247,120898,2741.451247,1465.796247,natural
P0001,CatMeowing_02_MONO.wav,1282.625,6,6,catmeowing,0,1.251723356,55201,1251.723356,-30.90164399,natural
P0001,CatMeowing_03_MONO.wav,1181.28,6,2,catmeowing,1,1.610521542,71024,1610.521542,429.2415419,natural
P0001,CatMeowing_04_MONO.wav,1468.845,6,10,catmeowing,0,3,132300,3000,1531.155,natural
P0001,CatMeowing_05_MONO.wav,1150.145,6,4,catmeowing,1,0.862018141,38015,862.0181406,-288.1268594,natural
P0001,CatPurring_02_MONO.wav,2940.105,5,8,catpurring,2,3,132300,3000,59.895,natural
P0001,CatPurring_05_MONO.wav,1733.155,7,2,catpurring,2,3.000022676,132301,3000.022676,1266.867676,natural
P0001,CatPurring_07_MONO.wav,1789.02,6,10,catpurring,0,2.972403628,131083,2972.403628,1183.383628,natural
